timestamp,pupilDia_L,pupilDia_R
1953870,4.50087,3.991089
1953878,4.509918,4.007858
1953887,4.442596,4.191788
1953895,4.592484,4.097153
1953903,4.410889,4.059647
1953912,4.503357,4.042023
1953920,4.50705,4.127106
1953928,4.437103,4.108276
1953937,4.509674,4.226212
1953945,4.562408,4.199402
1953953,4.506683,4.197571
1953962,4.456497,4.194977
1953970,4.417999,4.182312
1953978,4.63092,4.192673
1953987,4.404037,4.16864
1953995,4.529373,4.209259
1954003,4.655533,4.244919
1954012,4.627151,4.274689
1954020,4.6539,4.256668
1954028,4.672516,4.219299
1954037,4.621216,4.324951
1954045,4.650558,4.317261
1954053,4.620346,4.297653
1954062,4.719406,4.32576
1954070,4.777588,4.28215
1954078,4.735596,4.32283
1954087,4.778687,4.301086
1954095,4.752884,4.263031
1954103,4.767578,4.257797
1954112,4.716797,4.204163
1954120,4.764359,4.256653
1954128,4.643021,4.255951
1954137,4.649597,4.255951
1954145,4.649536,4.216171
1954153,4.625183,4.241776
1954162,4.606705,4.273499
1954170,4.642456,4.279556
1954178,4.629028,4.282501
1954187,4.557297,4.275635
1954195,4.558853,4.278061
1954203,4.682587,4.211578
1954212,4.490845,4.28508
1954220,4.549133,4.260117
1954228,4.545593,4.285065
1954237,4.56424,4.208344
1954245,4.501572,4.238876
1954253,4.518585,4.302612
1954262,4.64505,4.313705
1954270,4.565323,4.208023
1954278,4.516586,4.248749
1954287,4.603149,4.21524
1954295,4.598877,4.278397
1954303,4.459106,4.18721
1954312,4.484299,4.198608
1954320,4.519485,4.114136
1954328,4.436401,4.170822
1954337,4.439499,4.189819
1954345,4.506607,4.167053
1954353,4.448746,4.134995
1954362,4.394318,4.060028
1954370,4.454651,4.043579
1954378,4.495956,4.010895
1954387,4.321655,3.940506
1954395,4.35083,3.894165
1954403,4.28511,3.973114
1954412,4.336411,3.928131
1954420,4.270401,3.865494
1954428,4.269012,3.863876
1954437,4.294495,3.876846
1954445,4.214066,3.811829
1954453,4.244797,3.802704
1954462,4.236221,3.78389
1954470,4.18158,3.758057
1954478,4.084167,3.670456
1954487,4.082596,3.768951
1954495,4.042068,3.661255
1954503,4.058868,3.635834
1954512,4.011795,3.600769
1954520,4.004715,3.629013
1954528,3.971451,3.614655
1954537,4.032211,3.665695
1954545,4.010239,3.569016
1954553,3.95047,3.623215
1954562,3.947754,3.58696
1954570,3.868027,3.53302
1954578,3.864609,3.514877
