PupilLeft,PupilRight
3.52,3.24
3.52,
3.51,3.22
3.51,3.2
3.51,3.19
3.5,3.23
3.49,3.24
3.48,
3.47,3.23
3.48,3.24
,
3.49,3.23
3.5,3.19
3.51,3.16
3.47,
3.46,3.2
3.46,3.18
3.46,3.17
3.43,3.17
3.4,3.18
3.45,
3.44,3.19
3.41,3.17
3.4,3.18
3.42,3.18
3.42,3.17
3.4,
3.4,3.12
3.41,3.13
3.4,3.14
3.39,3.15
3.38,3.14
3.39,
3.41,3.12
,
3.42,
3.39,3.14
3.37,3.14
3.41,3.18
3.41,3.17
3.39,3.13
3.43,3.15
,
3.41,3.15
3.39,3.17
3.39,3.2
3.42,3.19
3.44,3.17
3.42,
3.42,3.17
3.41,3.17
3.4,3.14
3.42,3.14
3.41,3.17
3.41,
3.42,3.27
3.43,3.2
3.45,3.16
3.46,3.19
3.46,3.2
,3.19
3.48,3.16
3.48,
3.47,3.18
3.47,3.19
3.48,3.2
,3.23
3.53,3.2
3.49,3.22
3.47,3.21
3.51,3.24
3.54,3.25
3.52,3.24
3.49,3.23
,3.22
3.52,3.25
3.51,
3.54,3.32
3.53,3.27
3.51,3.24
3.56,3.27
3.56,3.27
3.56,3.29
3.55,3.3
3.56,
3.57,3.27
3.55,3.28
3.56,3.3
3.59,3.3
3.57,3.29
3.55,
3.58,3.26
3.58,3.27
3.59,3.29
3.6,
3.6,3.29
3.59,3.31
3.6,3.3
3.6,3.3
3.55,
,
3.65,3.28
3.65,3.28
3.6,3.29
3.57,3.29
3.58,3.28
3.58,3.27
3.56,3.27
3.57,
3.56,3.3
3.54,3.28
3.54,3.25
3.53,3.28
3.53,3.28
3.53,
3.53,3.3
3.54,3.28
3.55,3.26
,
3.58,3.25
3.53,3.23
3.48,3.22
3.48,
3.47,3.24
3.47,3.23
3.46,3.21
3.44,
3.41,3.23
3.43,3.21
3.48,3.2
3.45,3.24
3.42,3.23
3.42,3.19
3.44,3.19
3.46,
3.43,3.23
3.44,3.2
3.45,3.19
